Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Owner
Meteorite,TLE,Avatar: The Last Airbender Eternal,54,normal,mythic,1,109684,3dd36ba1-4f96-415a-90ec-1d9e5e355eb9,0.52,false,false,near_mint,en,EUR,jordan
Reef Roads,DFT,Aetherdrift,259,normal,uncommon,1,103105,73a8171a-2629-4356-ae86-b4d03aa14bd3,0.07,false,false,near_mint,en,EUR,jordan
Spotcycle Scouter,DFT,Aetherdrift,30,normal,common,3,103346,f0489108-75b7-441c-888d-12987c0c1080,0.04,false,false,near_mint,en,EUR,jordan
Venomsac Lagac,DFT,Aetherdrift,185,normal,common,2,103171,9142b1c9-09d7-42e4-8138-6c15d31f2470,0.06,false,false,near_mint,en,EUR,jordan
Flood the Engine,DFT,Aetherdrift,42,normal,common,2,103506,57402f7c-5d4c-4f1e-8bce-a2328a297111,0.1,false,false,near_mint,en,EUR,jordan
Syphon Fuel,DFT,Aetherdrift,108,normal,common,3,103493,4af17ae0-1035-4cb2-8974-98b377bfaa48,0.04,false,false,near_mint,en,EUR,jordan
Lightning Strike,DFT,Aetherdrift,136,normal,common,2,103461,30077b49-b825-4dbb-a0c7-f3992f647df0,0.08,false,false,near_mint,en,EUR,jordan
Tranquil Cove,DFT,Aetherdrift,267,normal,common,1,103098,70688800-7675-4e75-bb3c-9e05b95a685c,0.08,false,false,near_mint,en,EUR,jordan
Bestow Greatness,DFT,Aetherdrift,155,normal,common,2,103234,b6a5adee-3482-4c5b-9260-58efa8fec5ba,0.05,false,false,near_mint,en,EUR,jordan
"Terrian, World Tyrant",DFT,Aetherdrift,182,normal,uncommon,2,103606,b44255cf-5264-4ead-9de0-20cc0f7cac6f,0.17,false,false,near_mint,en,EUR,jordan
Broodheart Engine,DFT,Aetherdrift,193,normal,uncommon,1,103667,ed09139b-a66e-4cd1-b45a-23a4648d3401,0.11,false,false,near_mint,en,EUR,jordan
