Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
3,,Aang's Journey,tla,,English,,,2026-02-14 00:06:11.111000,1,,,
2,,Energybending,tla,,English,,,2026-02-14 00:06:11.111000,2,,,
1,,Zuko's Exile,tla,,English,,,2026-02-14 00:06:11.111000,3,,,
2,,"Aang, the Last Airbender",tla,,English,,,2026-02-14 00:06:11.111000,4,,,
1,,Airbender Ascension,tla,,English,,,2026-02-14 00:06:11.111000,6,,,
2,,Airbender's Reversal,tla,,English,,,2026-02-14 00:06:11.111000,7,,,
2,,Airbending Lesson,tla,,English,,,2026-02-14 00:06:11.111000,8,,,
2,,"Appa, Steadfast Guardian",tla,,English,,,2026-02-14 00:06:11.111000,10,,,
4,,Avatar Enthusiasts,tla,,English,,,2026-02-14 00:06:11.111000,11,,,
1,,Avatar's Wrath,tla,,English,,,2026-02-14 00:06:11.112000,12,,,
2,,Compassionate Healer,tla,,English,,,2026-02-14 00:06:11.112000,13,,,
1,,Curious Farm Animals,tla,,English,,,2026-02-14 00:06:11.112000,14,,,
2,,Destined Confrontation,tla,,English,,,2026-02-14 00:06:11.112000,15,,,
1,,Earth Kingdom Protectors,tla,,English,,,2026-02-14 00:06:11.112000,17,,,
1,,Enter the Avatar State,tla,,English,,,2026-02-14 00:06:11.112000,18,,,
5,,Glider Kids,tla,,English,,,2026-02-14 00:06:11.112000,21,,,
1,,Glider Staff,tla,,English,,,2026-02-14 00:06:11.112000,22,,,
1,,"Hakoda, Selfless Commander",tla,,English,,,2026-02-14 00:06:11.112000,23,,,
2,,Jeong Jeong's Deserters,tla,,English,,,2026-02-14 00:06:11.112000,25,,,
3,,Kyoshi Warriors,tla,,English,,,2026-02-14 00:06:11.112000,26,,,
2,,Master Piandao,tla,,English,,,2026-02-14 00:06:11.112000,28,,,
1,,"Momo, Friendly Flier",tla,,English,,,2026-02-14 00:06:11.112000,29,,,
1,,"Momo, Playful Pet",tla,,English,,,2026-02-14 00:06:11.112000,30,,,
3,,Path to Redemption,tla,,English,,,2026-02-14 00:06:11.112000,31,,,
4,,Rabaroo Troop,tla,,English,,,2026-02-14 00:06:11.112000,32,,,
1,,Razor Rings,tla,,English,,,2026-02-14 00:06:11.112000,33,,,
6,,Sandbenders' Storm,tla,,English,,,2026-02-14 00:06:11.112000,34,,,
1,,South Pole Voyager,tla,,English,,,2026-02-14 00:06:11.112000,35,,,
1,,"Suki, Courageous Rescuer",tla,,English,,,2026-02-14 00:06:11.112000,37,,,
2,,Team Avatar,tla,,English,,,2026-02-14 00:06:11.112000,38,,,
1,,United Front,tla,,English,,,2026-02-14 00:06:11.112000,39,,,
2,,Water Tribe Captain,tla,,English,,,2026-02-14 00:06:11.112000,41,,,
1,,Water Tribe Rallier,tla,,English,,,2026-02-14 00:06:11.112000,42,,,
6,,Yip Yip!,tla,,English,,,2026-02-14 00:06:11.112000,43,,,
2,,Accumulate Wisdom,tla,,English,,,2026-02-14 00:06:11.112000,44,,,
1,,Boomerang Basics,tla,,English,,,2026-02-14 00:06:11.112000,46,,,
1,,Ember Island Production,tla,,English,,,2026-02-14 00:06:11.112000,48,,,
2,,Flexible Waterbender,tla,,English,,,2026-02-14 00:06:11.112000,50,,,
2,,Forecasting Fortune Teller,tla,,English,,,2026-02-14 00:06:11.112000,51,,,
3,,Geyser Leaper,tla,,English,,,2026-02-14 00:06:11.112000,52,,,
3,,Giant Koi,tla,,English,,,2026-02-14 00:06:11.112000,53,,,
2,,Gran-Gran,tla,,English,,,2026-02-14 00:06:11.112000,54,,,
1,,Iguana Parrot,tla,,English,,,2026-02-14 00:06:11.112000,56,,,
2,,Invasion Submersible,tla,,English,,,2026-02-14 00:06:11.112000,57,,,
4,,It'll Quench Ya!,tla,,English,,,2026-02-14 00:06:11.112000,58,,,
2,,"Katara, Bending Prodigy",tla,,English,,,2026-02-14 00:06:11.112000,59,,,
1,,Knowledge Seeker,tla,,English,,,2026-02-14 00:06:11.112000,60,,,
2,,Lost Days,tla,,English,,,2026-02-14 00:06:11.112000,62,,,
2,,"The Mechanist, Aerial Artisan",tla,,English,,,2026-02-14 00:06:11.112000,64,,,
2,,Otter-Penguin,tla,,English,,,2026-02-14 00:06:11.112000,67,,,
2,,Rowdy Snowballers,tla,,English,,,2026-02-14 00:06:11.112000,68,,,
2,,Serpent of the Pass,tla,,English,,,2026-02-14 00:06:11.112000,70,,,
1,,The Spirit Oasis,tla,,English,,,2026-02-14 00:06:11.112000,72,,,
1,,Tiger-Seal,tla,,English,,,2026-02-14 00:06:11.112000,75,,,
2,,"Ty Lee, Chi Blocker",tla,,English,,,2026-02-14 00:06:11.112000,76,,,
1,,The Unagi of Kyoshi Island,tla,,English,,,2026-02-14 00:06:11.112000,77,,,
3,,Watery Grasp,tla,,English,,,2026-02-14 00:06:11.112000,82,,,
1,,"Yue, the Moon Spirit",tla,,English,,,2026-02-14 00:06:11.112000,83,,,
1,,"Azula, On the Hunt",tla,,English,,,2026-02-14 00:06:11.112000,85,,,
2,,Beetle-Headed Merchants,tla,,English,,,2026-02-14 00:06:11.112000,86,,,
1,,Buzzard-Wasp Colony,tla,,English,,,2026-02-14 00:06:11.112000,88,,,
3,,Callous Inspector,tla,,English,,,2026-02-14 00:06:11.112000,89,,,
2,,Canyon Crawler,tla,,English,,,2026-02-14 00:06:11.112000,90,,,
2,,Corrupt Court Official,tla,,English,,,2026-02-14 00:06:11.112000,92,,,
1,,Dai Li Indoctrination,tla,,English,,,2026-02-14 00:06:11.112000,93,,,
4,,Deadly Precision,tla,,English,,,2026-02-14 00:06:11.112000,95,,,
1,,Epic Downfall,tla,,English,,,2026-02-14 00:06:11.112000,96,,,
1,,The Fire Nation Drill,tla,,English,,,2026-02-14 00:06:11.112000,98,,,
2,,Fire Nation Engineer,tla,,English,,,2026-02-14 00:06:11.112000,99,,,
2,,Fire Navy Trebuchet,tla,,English,,,2026-02-14 00:06:11.112000,100,,,
1,,Foggy Swamp Hunters,tla,,English,,,2026-02-14 00:06:11.112000,101,,,
2,,Heartless Act,tla,,English,,,2026-02-14 00:06:11.112000,103,,,
3,,Hog-Monkey,tla,,English,,,2026-02-14 00:06:11.112000,104,,,
1,,"Joo Dee, One of Many",tla,,English,,,2026-02-14 00:06:11.112000,105,,,
1,,"June, Bounty Hunter",tla,,English,,,2026-02-14 00:06:11.112000,106,,,
1,,"Koh, the Face Stealer",tla,,English,,,2026-02-14 00:06:11.112000,107,,,
2,,"Lo and Li, Twin Tutors",tla,,English,,,2026-02-14 00:06:11.112000,108,,,
3,,"Mai, Scornful Striker",tla,,English,,,2026-02-14 00:06:11.112000,109,,,
2,,Merchant of Many Hats,tla,,English,,,2026-02-14 00:06:11.112000,110,,,
1,,Northern Air Temple,tla,,English,,,2026-02-14 00:06:11.112000,111,,,
1,,Obsessive Pursuit,tla,,English,,,2026-02-14 00:06:11.112000,112,,,
2,,Pirate Peddlers,tla,,English,,,2026-02-14 00:06:11.112000,115,,,
1,,Ruinous Waterbending,tla,,English,,,2026-02-14 00:06:11.112000,118,,,
1,,Sold Out,tla,,English,,,2026-02-14 00:06:11.112000,119,,,
4,,Swampsnare Trap,tla,,English,,,2026-02-14 00:06:11.112000,120,,,
1,,Wolfbat,tla,,English,,,2026-02-14 00:06:11.112000,122,,,
2,,Zuko's Conviction,tla,,English,,,2026-02-14 00:06:11.112000,123,,,
5,,Boar-q-pine,tla,,English,,,2026-02-14 00:06:11.112000,124,,,
4,,Bumi Bash,tla,,English,,,2026-02-14 00:06:11.112000,125,,,
1,,The Cave of Two Lovers,tla,,English,,,2026-02-14 00:06:11.112000,126,,,
2,,Combustion Man,tla,,English,,,2026-02-14 00:06:11.112000,127,,,
2,,Combustion Technique,tla,,English,,,2026-02-14 00:06:11.112000,128,,,
2,,Crescent Island Temple,tla,,English,,,2026-02-14 00:06:11.112000,129,,,
2,,Cunning Maneuver,tla,,English,,,2026-02-14 00:06:11.112000,130,,,
5,,Deserter's Disciple,tla,,English,,,2026-02-14 00:06:11.112000,131,,,
1,,Fated Firepower,tla,,English,,,2026-02-14 00:06:11.112000,132,,,
2,,Fire Nation Attacks,tla,,English,,,2026-02-14 00:06:11.112000,133,,,
3,,Fire Nation Cadets,tla,,English,,,2026-02-14 00:06:11.112000,134,,,
2,,Fire Nation Raider,tla,,English,,,2026-02-14 00:06:11.112000,135,,,
1,,Fire Sages,tla,,English,,,2026-02-14 00:06:11.112000,136,,,
2,,Firebending Lesson,tla,,English,,,2026-02-14 00:06:11.112000,138,,,
1,,Iroh's Demonstration,tla,,English,,,2026-02-14 00:06:11.112000,141,,,
1,,"Jeong Jeong, the Deserter",tla,,English,,,2026-02-14 00:06:11.112000,142,,,
1,,Jet's Brainwashing,tla,,English,,,2026-02-14 00:06:11.112000,143,,,
1,,The Last Agni Kai,tla,,English,,,2026-02-14 00:06:11.112000,144,,,
1,,Lightning Strike,tla,,English,,,2026-02-14 00:06:11.112000,146,,,
3,,"Mai, Jaded Edge",tla,,English,,,2026-02-14 00:06:11.112000,147,,,
1,,Mongoose Lizard,tla,,English,,,2026-02-14 00:06:11.112000,148,,,
1,,Redirect Lightning,tla,,English,,,2026-02-14 00:06:11.112000,151,,,
4,,Rough Rhino Cavalry,tla,,English,,,2026-02-14 00:06:11.112000,152,,,
1,,Solstice Revelations,tla,,English,,,2026-02-14 00:06:11.112000,153,,,
3,,Treetop Freedom Fighters,tla,,English,,,2026-02-14 00:06:11.113000,156,,,
3,,War Balloon,tla,,English,,,2026-02-14 00:06:11.113000,159,,,
3,,Wartime Protestors,tla,,English,,,2026-02-14 00:06:11.113000,160,,,
3,,Yuyan Archers,tla,,English,,,2026-02-14 00:06:11.113000,161,,,
1,,"Zuko, Exiled Prince",tla,,English,,,2026-02-14 00:06:11.113000,163,,,
1,,Avatar Destiny,tla,,English,,,2026-02-14 00:06:11.113000,165,,,
2,,Badgermole,tla,,English,,,2026-02-14 00:06:11.113000,166,,,
1,,"The Boulder, Ready to Rumble",tla,,English,,,2026-02-14 00:06:11.113000,168,,,
2,,"Bumi, King of Three Trials",tla,,English,,,2026-02-14 00:06:11.113000,169,,,
1,,Cycle of Renewal,tla,,English,,,2026-02-14 00:06:11.113000,170,,,
2,,Earth Kingdom General,tla,,English,,,2026-02-14 00:06:11.113000,173,,,
3,,Earth Rumble,tla,,English,,,2026-02-14 00:06:11.113000,174,,,
2,,Earthbending Lesson,tla,,English,,,2026-02-14 00:06:11.113000,176,,,
2,,Earthen Ally,tla,,English,,,2026-02-14 00:06:11.113000,177,,,
1,,Elemental Teachings,tla,,English,,,2026-02-14 00:06:11.113000,178,,,
6,,Foggy Swamp Vinebender,tla,,English,,,2026-02-14 00:06:11.113000,180,,,
2,,"Haru, Hidden Talent",tla,,English,,,2026-02-14 00:06:11.113000,182,,,
1,,Invasion Tactics,tla,,English,,,2026-02-14 00:06:11.113000,183,,,
1,,Leaves from the Vine,tla,,English,,,2026-02-14 00:06:11.113000,185,,,
2,,Origin of Metalbending,tla,,English,,,2026-02-14 00:06:11.113000,187,,,
4,,Ostrich-Horse,tla,,English,,,2026-02-14 00:06:11.113000,188,,,
3,,Pillar Launch,tla,,English,,,2026-02-14 00:06:11.113000,189,,,
2,,Raucous Audience,tla,,English,,,2026-02-14 00:06:11.113000,190,,,
2,,Rebellious Captives,tla,,English,,,2026-02-14 00:06:11.113000,191,,,
1,,Rocky Rebuke,tla,,English,,,2026-02-14 00:06:11.113000,193,,,
2,,Saber-Tooth Moose-Lion,tla,,English,,,2026-02-14 00:06:11.113000,194,,,
2,,Seismic Sense,tla,,English,,,2026-02-14 00:06:11.113000,195,,,
1,,Shared Roots,tla,,English,,,2026-02-14 00:06:11.113000,196,,,
1,,Sparring Dummy,tla,,English,,,2026-02-14 00:06:11.113000,197,,,
2,,"Toph, the Blind Bandit",tla,,English,,,2026-02-14 00:06:11.113000,198,,,
1,,Turtle-Duck,tla,,English,,,2026-02-14 00:06:11.113000,200,,,
1,,Unlucky Cabbage Merchant,tla,,English,,,2026-02-14 00:06:11.113000,201,,,
3,,Walltop Sentries,tla,,English,,,2026-02-14 00:06:11.113000,202,,,
4,,Abandon Attachments,tla,,English,,,2026-02-14 00:06:11.113000,205,,,
1,,Air Nomad Legacy,tla,,English,,,2026-02-14 00:06:11.113000,206,,,
1,,"Azula, Cunning Usurper",tla,,English,,,2026-02-14 00:06:11.113000,208,,,
1,,Beifong's Bounty Hunters,tla,,English,,,2026-02-14 00:06:11.113000,209,,,
1,,Bitter Work,tla,,English,,,2026-02-14 00:06:11.113000,210,,,
4,,Cat-Owl,tla,,English,,,2026-02-14 00:06:11.113000,212,,,
2,,Cruel Administrator,tla,,English,,,2026-02-14 00:06:11.113000,213,,,
2,,Dragonfly Swarm,tla,,English,,,2026-02-14 00:06:11.113000,215,,,
1,,Earth Kingdom Soldier,tla,,English,,,2026-02-14 00:06:11.113000,216,,,
5,,Earth Rumble Wrestlers,tla,,English,,,2026-02-14 00:06:11.113000,218,,,
4,,Earth Village Ruffians,tla,,English,,,2026-02-14 00:06:11.113000,219,,,
1,,Fire Lord Azula,tla,,English,,,2026-02-14 00:06:11.113000,220,,,
1,,Fire Lord Zuko,tla,,English,,,2026-02-14 00:06:11.113000,221,,,
1,,Foggy Swamp Spirit Keeper,tla,,English,,,2026-02-14 00:06:11.113000,222,,,
2,,Guru Pathik,tla,,English,,,2026-02-14 00:06:11.113000,223,,,
1,,"Hei Bai, Spirit of Balance",tla,,English,,,2026-02-14 00:06:11.113000,225,,,
1,,Hermitic Herbalist,tla,,English,,,2026-02-14 00:06:11.113000,226,,,
1,,"Jet, Freedom Fighter",tla,,English,,,2026-02-14 00:06:11.113000,229,,,
1,,"Katara, Water Tribe's Hope",tla,,English,,,2026-02-14 00:06:11.113000,231,,,
1,,"Long Feng, Grand Secretariat",tla,,English,,,2026-02-14 00:06:11.113000,233,,,
1,,Messenger Hawk,tla,,English,,,2026-02-14 00:06:11.113000,234,,,
1,,"Ozai, the Phoenix King",tla,,English,,,2026-02-14 00:06:11.113000,235,,,
2,,Platypus-Bear,tla,,English,,,2026-02-14 00:06:11.113000,236,,,
3,,Pretending Poxbearers,tla,,English,,,2026-02-14 00:06:11.113000,237,,,
1,,Sandbender Scavengers,tla,,English,,,2026-02-14 00:06:11.113000,239,,,
2,,"Sokka, Bold Boomeranger",tla,,English,,,2026-02-14 00:06:11.113000,240,,,
1,,"Sokka, Lateral Strategist",tla,,English,,,2026-02-14 00:06:11.113000,241,,,
1,,"Suki, Kyoshi Warrior",tla,,English,,,2026-02-14 00:06:11.113000,243,,,
